PDBCode,resolution,release_year,pkd,lig_name
3zzf,2.2,2012,0.4,NLG
3gww,2.46,2009,0.45,SFX
1w8l,1.8,2004,0.49,1P3
3fqa,2.35,2009,0.49,GAB&PMP
1zsb,2.0,1996,0.6,AZM
6h9v,1.52,2019,0.66,MFU
4obv,2.84,2014,0.75,2SU
1wkm,2.3,2005,0.82,MET
3k41,1.9,2009,0.82,M6D
4eu3,1.58,2012,0.82,CIT
2w97,2.29,2010,0.96,GOL
1p0y,2.55,2003,1.0,MLZ
2b1r,2.2,2006,1.0,CBI
2d2v,2.5,2006,1.0,MAL
1aw1,2.7,1998,1.05,PGA
1maw,3.0,2003,1.1,ATP
3fl9,2.4,2009,1.11,TOP
5eb2,2.71,2016,1.11,TRP
4lh2,1.67,2013,1.24,SIN
4to8,2.1,2014,1.24,FLC
4fci,1.82,2012,1.26,GPA
4fck,1.9,2012,1.26,GPA
4clp,1.9,2014,1.27,CMP
1f9g,2.0,2001,1.28,ASC
1a0t,2.4,1998,1.3,SUC
1b74,2.3,2000,1.3,DGN
2fah,2.09,2006,1.3,MLA
5oxm,2.3,2018,1.3,2-mer
2igw,1.78,2007,1.31,2-mer
5mnc,0.92,2017,1.31,ANL
5mny,1.43,2017,1.31,WOT
5moo,1.44,2017,1.31,WOT
2vl1,2.15,2008,1.35,2-mer
3nm6,1.6,2010,1.35,TRS
1qpb,2.4,2000,1.36,PYM
6k2n,1.8,2019,1.36,3-mer
1hty,1.4,2002,1.4,TRS
1o4l,1.65,2004,1.4,CIT
1o4m,1.6,2004,1.4,MLA
1o4n,1.6,2004,1.4,OXD
2hdq,2.1,2006,1.4,C21
3eor,2.9,2009,1.4,CFV
3e81,1.63,2008,1.43,SLB
1ozv,2.65,2003,1.44,LYS
1utp,1.3,2004,1.44,PBN
5eb3,2.4,2016,1.45,UEG
1tnk,1.8,1994,1.49,PRA
4bh4,1.9,2013,1.49,3-mer
5vqe,1.89,2018,1.49,G2F
4lh3,1.81,2013,1.52,GUA
5ct1,2.0,2015,1.52,NHE
5ele,1.6,2016,1.52,5-mer
3mwe,2.2,2010,1.54,TLA
4amw,1.9,2013,1.55,5DI
1iig,2.6,2001,1.57,3PP
3rup,1.99,2011,1.57,ADP
5cs5,1.9,2015,1.58,PIN
5ofv,1.5,2017,1.58,9TZ
2b1q,2.2,2006,1.59,TRE
1w8m,1.65,2004,1.6,E1P
3itc,1.7,2010,1.6,CIT
2it4,2.0,2007,1.62,PPF
5k5c,1.85,2017,1.62,TRE
1a7t,1.85,1998,1.64,MES
4d63,2.2,2015,1.64,SIA
1hgj,2.7,1994,1.66,AMN
1rdj,1.8,1996,1.66,MFB
2o9r,2.3,2007,1.68,TCB
4qsw,1.8,2014,1.68,38T
2sfp,1.9,1999,1.7,PPI
3gf2,1.8,2009,1.7,SAL
3oay,1.95,2011,1.7,BDF
4tyb,2.93,2015,1.7,3B1
6cex,2.57,2018,1.7,NHE
6cf5,2.04,2018,1.7,NHE
3g6m,1.65,2010,1.71,CFF
2hdr,2.2,2006,1.72,4A3
3ern,2.1,2009,1.72,CAR
3vzg,2.7,2013,1.72,2-mer
3zst,2.3,2011,1.72,ACX
5y61,2.99,2017,1.72,5GP
1u2y,1.95,2004,1.74,GOX
