PDBCode,affinity
10gs,0.4
5j41,199.0
1a1e,1.0
1a28,0.0050999999999999995
1sr7,8e-05
2w8y,0.00082
1a30,50.0
1bv7,5e-05
1bv9,0.00011
1bwa,0.0025
1bwb,0.0038
1hvh,0.011
1hwr,0.0047
3ao2,170.0
3t1a,0.0043
4q1w,2e-06
4q1x,7e-06
4q1y,4.4999999999999996e-05
5dgu,4.5e-06
5dgw,9e-06
6dif,1.9e-05
6dil,0.0076
6dj1,3.1e-05
6dj2,0.0076
6dj5,0.007200000000000001
6dj7,0.0019
6e7j,0.00033
6e9a,1.2e-06
1a4k,0.01
1a4r,0.22
1a69,5.0
1k9s,0.3
1a94,0.014
1d4y,8e-06
1iiq,0.033
1izi,0.26
1lzq,0.0040999999999999995
1m0b,0.0015300000000000001
1mrw,0.0002
1mrx,0.055
1msm,3.2999999999999996e-05
1msn,0.0008100000000000001
1nh0,0.00017999999999999998
1sdt,0.00054
1sdu,8.599999999999999e-05
1sdv,0.00181
1sgu,4.235
1sh9,0.932
2pqz,2.15
2pwc,0.27
2pwr,0.26
2pym,0.15
2pyn,0.027
2q63,0.066
2q64,0.003
2qci,0.0046
2qd6,0.0021000000000000003
2qd7,0.0008
2qd8,0.00085
2qnn,0.07
2qnp,0.39
2qnq,0.77
2r43,1.0
2z4o,0.00027
3a2o,0.00083
3bva,0.3
3bvb,3.2
3djk,2.6e-05
3dk1,0.00017999999999999998
3ggu,0.00016999999999999999
3h5b,9.900000000000001e-05
3i6o,4.4999999999999996e-05
3kdb,0.00014000000000000001
3kdc,0.0005200000000000001
3kdd,0.0034500000000000004
3pwm,0.0008
3st5,4.9999999999999996e-06
3t3c,5.9e-05
3ttp,0.00075
3vf5,0.00046
3vf7,0.0008
3vfb,0.00092
4dfg,1.8e-06
4hdb,0.0089
4hdf,0.0032
4hdp,0.0309
4heg,0.0012
4hla,1.6e-05
1a99,2.0
1a9m,0.11900000000000001
1d4h,0.0001
1d4i,0.0014
1d4j,0.0044
1ebw,0.0009000000000000001
1eby,0.0002
1ebz,0.0004
1ec0,0.0032
1ec1,0.0012
1ec2,0.0001
1ec3,0.00092
1g35,0.0073
1mes,0.02
1met,0.0004
1w5v,0.0070999999999999995
1w5w,0.0016
1w5x,0.004
1w5y,0.0033
1zpa,0.004
1zsf,0.00012
2aqu,0.00048
2uxz,0.0033
2uy0,0.12
3nu3,0.00015
3nu4,0.0015
3nu5,0.0045000000000000005
3nu6,0.0005
3nu9,0.0009000000000000001
3nuj,0.00041
3nuo,0.00016
3ok9,5.9e-06
3qaa,2.8999999999999998e-06
3tkw,5.4
3zps,0.005
3zpu,0.004200000000000001
4cp7,0.0078
4cpr,0.035
4cps,0.0054
4cpt,0.02
4cpw,0.0315
4u8w,5.7999999999999995e-06
4zip,0.00021
4zls,0.00082
5bry,1.5e-06
5bs4,9.900000000000002e-06
5jfp,0.00048
5jfu,0.0085
5jg1,0.0019
5ult,1.4e-05
5uov,2.5e-05
5upz,0.00063
6prf,0.0025
6o48,0.075
1a9q,0.68
1b8n,2.9999999999999997e-05
1b8o,2.3e-05
1lvu,4.8
1v48,0.016
3fuc,0.00018999999999999998
1afk,0.24
1afl,0.52
1jn4,11.3
1jvu,7.0
1o0f,5.0
1o0h,1.2
1o0m,7.1
1o0n,82.0
1qhc,0.027
1u1b,0.016
1w4o,6.0
1w4p,18.0
1w4q,5.5
1z6s,46.0
2w5g,0.86
2xog,370.0
3d6o,77.0
3d6p,179.0
3d8z,423.0
4g8v,1.6
4g8y,25.8
4g90,30.8
4rsk,47.4
6pvw,0.48
6pvv,1.4
1alw,0.3
1amw,29.0
1bgq,0.0027
2cgf,0.39
2fxs,0.87
2iwx,0.21
2vw5,0.003
2vwc,0.24
2weq,1.27
2wer,0.09
2yge,8.62
2ygf,8.06
1ax0,746.0
3n35,431.0
1b05,0.075
1b0h,0.2
1b1h,0.093
1b2h,29.0
1b32,0.079
1b3f,0.13
1b3g,0.2
1b3h,0.62
1b3l,1.3
1b40,0.053
1b46,5.2
1b4h,3.44
1b4z,5.9
1b51,0.043000000000000003
1b52,0.076
1b58,0.26
1b5h,0.97
1b5i,0.09
1b5j,0.037
1b6h,0.015
1b7h,0.0095
1b9j,1.1
1qka,1.2
1qkb,0.045
1b38,0.254
1e1v,12.0
1e1x,1.3
1jsv,2.0
1pxn,0.07
1pxo,0.002
1pxp,0.22
2exm,78.0
2fvd,0.003
2xmy,0.00011
2xnb,0.149
5jq5,2.341
6guh,0.026000000000000002
6guk,0.715
6q4g,50.0
6q4e,350.0
1b55,0.04
6nfh,0.07
1b57,0.01
1b6j,0.012
1b6k,0.0018000000000000002
1b6l,0.005
1d4k,0.0006
1d4l,0.0017
1kzk,4.1e-05
1z1h,0.004
2fgu,0.00066
2fgv,0.76
2qhy,0.033
2qhz,0.053
2qi0,0.042
2qi1,0.05
2qi3,6.3e-05
2qi4,3.6e-05
2qi5,1.4e-05
2qi6,2.7e-05
2qi7,6.2e-05
3ekp,0.0013000000000000002
3ekt,2.6e-05
3ekv,0.00039000000000000005
3ekw,0.0109
3ekx,0.00039000000000000005
3el1,0.00023
3el4,0.0674
3el5,0.0189
3el9,0.004
3gi4,1.6e-05
3gi5,6e-06
3gi6,6e-06
3i7e,1.4e-05
3mxd,0.00147
3mxe,9.7e-05
3o9i,1.5e-06
1b8y,0.014
1ciz,0.036000000000000004
1hfs,0.002
1usn,0.018
2d1o,0.02
2usn,0.31
1bdq,0.46
1g2k,0.011
2aoc,13.0
2aod,2.17
2aoe,0.024
2aog,0.53
2avm,2.0
2avq,41.0
2avs,0.027
2bpv,0.0212
2bpy,0.039799999999999995
2f80,0.0066
2f81,3e-05
2f8g,0.002
2r38,0.036
2r3t,1.4
2r3w,0.128
3bgb,0.9
3bgc,9.6
3cyw,0.017
3cyx,0.01
3d1x,0.0022
3d1y,0.006
3d1z,0.0016
1bhf,42.0
1bhx,0.145
3bv9,4.4
3da9,3.1
3po1,95.0
4hfp,0.042
1bju,16.0
1bjv,2.9
1c1r,0.0235
1c5p,21.0
1c5q,0.44
1c5s,1.0
1c5t,80.0
1eb2,0.98
1f0t,1.0
1f0u,0.069
1g36,0.067
1g3d,2.8
1g3e,4.2
1ghz,16.0
1gi1,3.4
1gi4,0.065
1gj6,0.1
1k1i,0.264
1k1j,0.028
1k1l,0.125
1k1m,0.04
1k1n,0.153
1k1o,0.675
1o2h,0.068
1o2j,0.12
1o2n,0.81
1o2o,0.44
1o2q,0.021
1o2r,6.1
1o2w,1.4
1o2z,0.78
1o30,0.17
1o33,1.8
1o35,10.0
1o36,1.1
1o38,0.15
1o3d,0.074
1o3f,0.011
1o3i,0.05
1o3j,0.17
1o3l,0.29
1oyq,0.11
1qb1,0.17
1qb6,0.87
1qb9,0.036000000000000004
1qbn,1.4000000000000001
1qbo,0.018000000000000002
1ql7,10.0
1tx7,25.0
1utn,321.0
1uto,5320.0
1v2j,566.0
1v2k,0.65
1v2l,51.0
1v2n,1.25
1v2o,18.45
1v2r,278.96
1v2s,68.0
1v2t,19.56
1v2u,427.0
1v2w,97.79
1xug,0.09
1y3v,2.3000000000000003
1y3x,7.315
1yp9,7.7
2bza,1580.0
2fx6,200.0
2zdk,0.428
2zdl,0.402
2zdm,0.386
2zdn,0.562
2zfs,0.28700000000000003
2zft,0.3
2zq2,0.276
3aas,31.0
3aau,9.0
3gy2,1.8
3gy3,2.36
3gy4,8.0
3gy7,30.0
3ljo,0.23900000000000002
3m35,0.06
3nkk,20.0
4ab9,466.0
4aba,153.0
4abb,31.0
4abd,40.0
4abe,400.0
4abf,24.0
4abg,271.0
4abh,71.0
5mn1,3300.0
5mnn,143.0
1bm7,0.03
1e4h,0.0039
2b9a,0.009000000000000001
2f7i,0.08
2g5u,0.0032
3cfn,10.0
3cft,64.0
3kgt,3.1
3kgu,1.2
3nee,4.6
3neo,1.2
3nes,2.4
3nex,1.0
3p3r,0.056049999999999996
3p3s,0.026000000000000002
3p3t,0.057909999999999996
4d7b,0.021
4der,0.49
4des,1.4
4det,2.1
4deu,2.29
4dew,0.1
5ayt,0.17
5boj,0.1
5en3,0.62
5ihh,0.39
5l4i,0.26
5l4j,52.0
5l4m,4.6
5u49,0.73
5u4b,1.8
5u4d,0.47
1bn1,0.00046
1bn3,0.00013000000000000002
1bn4,0.00049
1bnn,0.0001
1bnq,0.00032
1bnt,0.00016
1bnu,0.0002
1bnv,0.0017
1bnw,0.00083
1g1d,0.00035999999999999997
1g45,0.0023
1g46,0.0016
1g48,0.0039
1g4o,0.0056
1g52,0.00029
1g53,0.00091
1g54,0.0015
1i9n,0.0022
1i9p,0.0039
1if7,2.9999999999999997e-05
1if8,0.00022999999999999998
1ttm,0.045
1xpz,0.084
1xq0,0.454
1z9y,0.065
1zfq,0.03
1zge,0.05
