PDBCode,protID,lig_name
10gs,P09211,VWW
5j41,P09211,2-mer
1a1e,P12931,4-mer
1a28,P06401,STR
1sr7,P06401,MOF
2w8y,P06401,486
1a30,P04585,3-mer
1bv7,P04585,XV6
1bv9,P04585,XV6
1bwa,P04585,XV6
1bwb,P04585,146
1hvh,P04585,Q82
1hwr,P04585,216
3ao2,P04585,AVX
3t1a,P04585,5MA
4q1w,P04585,017
4q1x,P04585,017
4q1y,P04585,017
5dgu,P04585,5B7
5dgw,P04585,5B5
6dif,P04585,TPV
6dil,P04585,TPV
6dj1,P04585,AB1
6dj2,P04585,AB1
6dj5,P04585,G52
6dj7,P04585,G10
6e7j,P04585,HWY
6e9a,P04585,J0S
1a4k,P01834,FRA
1a4r,P60953,GNH
1a69,P0ABP8,FMB
1k9s,P0ABP8,FM2
1a94,P03367,0Q4
1d4y,P03367,TPV
1iiq,P03367,0ZR
1izi,P03367,Q50
1lzq,P03367,0ZQ
1m0b,P03367,0ZQ
1mrw,P03367,K57
1mrx,P03367,K57
1msm,P03367,JE2
1msn,P03367,JE2
1nh0,P03367,5-mer
1sdt,P03367,MK1
1sdu,P03367,MK1
1sdv,P03367,MK1
1sgu,P03367,MK1
1sh9,P03367,RIT
2pqz,P03367,G0G
2pwc,P03367,G3G
2pwr,P03367,G4G
2pym,P03367,1UN
2pyn,P03367,1UN
2q63,P03367,1UN
2q64,P03367,1UN
2qci,P03367,065
2qd6,P03367,065
2qd7,P03367,065
2qd8,P03367,065
2qnn,P03367,QN1
2qnp,P03367,QN2
2qnq,P03367,QN3
2r43,P03367,G3G
2z4o,P03367,065
3a2o,P03367,KNJ
3bva,P03367,2NC
3bvb,P03367,017
3djk,P03367,G55
3dk1,P03367,G05
3ggu,P03367,017
3h5b,P03367,031
3i6o,P03367,GR6
3kdb,P03367,006
3kdc,P03367,JZP
3kdd,P03367,JZQ
3pwm,P03367,017
3st5,P03367,G89
3t3c,P03367,017
3ttp,P03367,017
3vf5,P03367,031
3vf7,P03367,031
3vfb,P03367,031
4dfg,P03367,0JV
4hdb,P03367,G52
4hdf,P03367,G52
4hdp,P03367,G52
4heg,P03367,G52
4hla,P03367,017
1a99,P31133,PUT
1a9m,P03366,U0E
1d4h,P03366,BEH
1d4i,P03366,BEG
1d4j,P03366,MSC
1ebw,P03366,BEI
1eby,P03366,BEB
1ebz,P03366,BEC
1ec0,P03366,BED
1ec1,P03366,BEE
1ec2,P03366,BEJ
1ec3,P03366,MS3
1g35,P03366,AHF
1mes,P03366,DMP
1met,P03366,DMP
1w5v,P03366,BE3
1w5w,P03366,BE4
1w5x,P03366,BE5
1w5y,P03366,BE6
1zpa,P03366,A83
1zsf,P03366,0ZS
2aqu,P03366,DR7
2uxz,P03366,HI1
2uy0,P03366,HV1
3nu3,P03366,478
3nu4,P03366,478
3nu5,P03366,478
3nu6,P03366,478
3nu9,P03366,478
3nuj,P03366,478
3nuo,P03366,478
3ok9,P03366,G52
3qaa,P03366,G04
3tkw,P03366,017
3zps,P03366,EQM
3zpu,P03366,M8B
4cp7,P03366,9MW
4cpr,P03366,378
4cps,P03366,1T8
4cpt,P03366,1T8
4cpw,P03366,V78
4u8w,P03366,G10
4zip,P03366,G64
4zls,P03366,G61
5bry,P03366,4UY
5bs4,P03366,4UX
5jfp,P03366,6KK
5jfu,P03366,6KQ
5jg1,P03366,6KR
5ult,P03366,8FM
5uov,P03366,8FP
5upz,P03366,8HD
6prf,P03366,7OA
6o48,P03366,0Q4
1a9q,P55859,HPA
1b8n,P55859,IMG
1b8o,P55859,IMH
1lvu,P55859,9PP
1v48,P55859,HA1
3fuc,P55859,9D9&9DG
1afk,P61823,PAP
1afl,P61823,ATR
1jn4,P61823,139
1jvu,P61823,C2P
1o0f,P61823,A3P
1o0h,P61823,ADP
1o0m,P61823,U2P
1o0n,P61823,U3P
1qhc,P61823,PUA
1u1b,P61823,PAX
1w4o,P61823,UA3
1w4p,P61823,UM3
1w4q,P61823,UMF
1z6s,P61823,AMP
2w5g,P61823,ATP
2xog,P61823,SFB
3d6o,P61823,U1S
3d6p,P61823,U2S
3d8z,P61823,TXS
4g8v,P61823,0EY
4g8y,P61823,0FT
4g90,P61823,0G0
4rsk,P61823,U3P
6pvw,P61823,OZV
6pvv,P61823,5FA
1alw,P04574,ISA
1amw,P02829,ADP
1bgq,P02829,RDC
2cgf,P02829,P2N
2fxs,P02829,RDA
2iwx,P02829,M1S
2vw5,P02829,BC6
2vwc,P02829,BC2
2weq,P02829,GDM
2wer,P02829,RDC
2yge,P02829,GDM
2ygf,P02829,GDM
1ax0,P16404,A2G
3n35,P16404,A2G
1b05,P06202,3-mer
1b0h,P06202,3-mer
1b1h,P06202,3-mer
1b2h,P06202,3-mer
1b32,P06202,3-mer
1b3f,P06202,3-mer
1b3g,P06202,3-mer
1b3h,P06202,3-mer
1b3l,P06202,3-mer
1b40,P06202,3-mer
1b46,P06202,3-mer
1b4h,P06202,3-mer
1b4z,P06202,3-mer
1b51,P06202,3-mer
1b52,P06202,3-mer
1b58,P06202,3-mer
1b5h,P06202,3-mer
1b5i,P06202,3-mer
1b5j,P06202,3-mer
1b6h,P06202,3-mer
1b7h,P06202,3-mer
1b9j,P06202,3-mer
1qka,P06202,3-mer
1qkb,P06202,3-mer
1b38,P24941,ATP
1e1v,P24941,CMG
1e1x,P24941,NW1
1jsv,P24941,U55
1pxn,P24941,CK6
1pxo,P24941,CK7
1pxp,P24941,CK8
2exm,P24941,ZIP
2fvd,P24941,LIA
2xmy,P24941,CDK
2xnb,P24941,Y8L
5jq5,P24941,I74
6guh,P24941,FB8
6guk,P24941,FC8
6q4g,P24941,HJK
6q4e,P24941,HH5
1b55,Q06187,4IP
6nfh,Q06187,KLM
1b57,P0AB71,PGH
1b6j,P03369,5-mer
1b6k,P03369,PI5
1b6l,P03369,PI4
1d4k,P03369,PI8
1d4l,P03369,PI9
1kzk,P03369,JE2
1z1h,P03369,HBB
2fgu,P03369,5-mer
2fgv,P03369,5-mer
2qhy,P03369,MZ1
2qhz,P03369,MZ2
2qi0,P03369,MZ3
2qi1,P03369,MZ4
2qi3,P03369,MZ5
2qi4,P03369,MZ6
2qi5,P03369,MZ7
2qi6,P03369,MZ8
2qi7,P03369,MZ9
3ekp,P03369,478
3ekt,P03369,017
3ekv,P03369,478
3ekw,P03369,DR7
3ekx,P03369,1UN
3el1,P03369,DR7
3el4,P03369,ROC
3el5,P03369,1UN
3el9,P03369,DR7
3gi4,P03369,K60
3gi5,P03369,K62
3gi6,P03369,D78
3i7e,P03369,DJR
3mxd,P03369,K53
3mxe,P03369,K54
3o9i,P03369,A61
1b8y,P08254,IN7
1ciz,P08254,DPS
1hfs,P08254,L04
1usn,P08254,IN9
2d1o,P08254,FA4
2usn,P08254,IN8
1bdq,P04587,IM1
1g2k,P04587,NM1
2aoc,P04587,2NC
2aod,P04587,2NC
2aoe,P04587,0Q4
2aog,P04587,2NC
2avm,P04587,2NC
2avq,P04587,2NC
2avs,P04587,MK1
2bpv,P04587,1IN
2bpy,P04587,3IN
2f80,P04587,017
2f81,P04587,017
2f8g,P04587,017
2r38,P04587,G4G
2r3t,P04587,G4G
2r3w,P04587,G3G
3bgb,P04587,LJG
3bgc,P04587,LJH
3cyw,P04587,017
3cyx,P04587,ROC
3d1x,P04587,ROC
