PDBCode,protID,lig_name,_merge
10gs,P09211,VWW,left_only
5j41,P09211,2-mer,left_only
1a1e,P12931,4-mer,left_only
1a28,P06401,STR,left_only
1sr7,P06401,MOF,left_only
2w8y,P06401,486,left_only
1a30,P04585,3-mer,left_only
1bv7,P04585,XV6,left_only
1bv9,P04585,XV6,left_only
1bwa,P04585,XV6,left_only
1bwb,P04585,146,left_only
1hvh,P04585,Q82,left_only
1hwr,P04585,216,left_only
3t1a,P04585,5MA,left_only
4q1w,P04585,017,left_only
4q1x,P04585,017,left_only
4q1y,P04585,017,left_only
1a4r,P60953,GNH,left_only
1a69,P0ABP8,FMB,left_only
1k9s,P0ABP8,FM2,left_only
1a94,P03367,0Q4,left_only
1d4y,P03367,TPV,left_only
1iiq,P03367,0ZR,left_only
1izi,P03367,Q50,left_only
1lzq,P03367,0ZQ,left_only
1m0b,P03367,0ZQ,left_only
1mrw,P03367,K57,left_only
1mrx,P03367,K57,left_only
1msm,P03367,JE2,left_only
1msn,P03367,JE2,left_only
1nh0,P03367,5-mer,left_only
1sdt,P03367,MK1,left_only
1sdu,P03367,MK1,left_only
1sdv,P03367,MK1,left_only
1sgu,P03367,MK1,left_only
1sh9,P03367,RIT,left_only
2pqz,P03367,G0G,left_only
2pwc,P03367,G3G,left_only
2pwr,P03367,G4G,left_only
2pym,P03367,1UN,left_only
2pyn,P03367,1UN,left_only
2q63,P03367,1UN,left_only
2q64,P03367,1UN,left_only
2qci,P03367,065,left_only
2qd6,P03367,065,left_only
2qd7,P03367,065,left_only
2qd8,P03367,065,left_only
2qnn,P03367,QN1,left_only
2qnp,P03367,QN2,left_only
2qnq,P03367,QN3,left_only
2r43,P03367,G3G,left_only
2z4o,P03367,065,left_only
3a2o,P03367,KNJ,left_only
3bva,P03367,2NC,left_only
3bvb,P03367,017,left_only
3djk,P03367,G55,left_only
3dk1,P03367,G05,left_only
3ggu,P03367,017,left_only
3h5b,P03367,031,left_only
3i6o,P03367,GR6,left_only
3kdb,P03367,006,left_only
3kdc,P03367,JZP,left_only
3kdd,P03367,JZQ,left_only
3pwm,P03367,017,left_only
3st5,P03367,G89,left_only
3t3c,P03367,017,left_only
3ttp,P03367,017,left_only
4hdf,P03367,G52,left_only
4heg,P03367,G52,left_only
4hla,P03367,017,left_only
1a99,P31133,PUT,left_only
1a9m,P03366,U0E,left_only
1d4h,P03366,BEH,left_only
1d4i,P03366,BEG,left_only
1d4j,P03366,MSC,left_only
1ebw,P03366,BEI,left_only
1eby,P03366,BEB,left_only
1ebz,P03366,BEC,left_only
1ec0,P03366,BED,left_only
1ec1,P03366,BEE,left_only
1ec2,P03366,BEJ,left_only
1ec3,P03366,MS3,left_only
1g35,P03366,AHF,left_only
1mes,P03366,DMP,left_only
1met,P03366,DMP,left_only
1w5v,P03366,BE3,left_only
1w5w,P03366,BE4,left_only
1w5x,P03366,BE5,left_only
1w5y,P03366,BE6,left_only
1zpa,P03366,A83,left_only
1zsf,P03366,0ZS,left_only
2aqu,P03366,DR7,left_only
2uxz,P03366,HI1,left_only
2uy0,P03366,HV1,left_only
3nu3,P03366,478,left_only
3nu4,P03366,478,left_only
3nu5,P03366,478,left_only
3nu6,P03366,478,left_only
