lig_name,SMILE
VWW,O=C(N[C@H](C(=O)N[C@H](c1ccccc1)C(=O)O)CSCc1ccccc1)CC[C@@H](C(=O)O)[NH3+]
2-mer,COc1cc(cc(c1OC)OC)[C@H](CC(=O)O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)[NH3+]
4-mer,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O
STR,O=C1CC[C@]2(C(=C1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2C(=O)C)C)C
MOF,ClCC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)Cl
486,CC#C[C@]1(O)CC[C@@H]2[C@]1(C)C[C@H](c1ccc(cc1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@H]21
3-mer,CC(C[C@@H](C(=O)O)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)O)[NH3+])CC(=O)O)C
XV6,O[C@@H]1[C@@H](O)[C@@H](Cc2ccccc2)N(C(=O)N([C@@H]1Cc1ccccc1)Cc1cccc(c1)C(=O)Nc1nccs1)Cc1cccc(c1)C(=O)Nc1nccs1
146,O=C1N(Cc2cccc(c2)C(=O)Nc2nc3c([nH]2)cccc3)[C@H](Cc2ccccc2)[C@@H]([C@H]([C@H](N1Cc1cccc(c1)C(=O)Nc1nc2c([nH]1)cccc2)Cc1ccccc1)O)O
Q82,OCc1ccc(cc1)CN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(/C/1=[NH+]\C#N)Cc1ccc(cc1)CO)Cc1ccccc1)O
216,C=CCN1[C@H](Cc2ccccc2)[C@H](O)[C@H]([C@H](N(C1=O)CC=C)Cc1ccccc1)O
AVX,Brc1cc(cc2c1OCO2)c1cc(n(n1)C)N
5MA,[NH3+]Cc1cc(Cl)cc(c1Cl)Oc1c(Cl)ccc2c1nnn2Cc1[nH]nc2c1cccn2
017,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
5B7,CO[C@H]1CO[C@H]2[C@@H]1[C@H](CCO2)OC(=O)N[C@H]([C@@H](CN(S(=O)(=O)c1ccc(cc1)OC)CC(C)C)O)Cc1ccccc1
5B5,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CCO[C@@H]2[C@H]1[C@H](CO2)[NH2+]CC)O)CC(C)C
TPV,CCC[C@@]1(CCc2ccccc2)CC(=C(C(=O)O1)[C@@H](c1cccc(c1)NS(=O)(=O)c1ccc(cn1)C(F)(F)F)CC)O
AB1,O=C(N[C@H]([C@H](C[C@H](Cc1ccccc1)NC(=O)[C@@H](N1CCCNC1=O)C(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
G52,COc1ccc(cc1)S(=O)(=O)N(C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1[C@H]1CCO[C@H]1O2)O)CC(C)C
G10,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1C(F)(F)CO2)O)C
