PDBCode,affinity
1a1e,1.0
1sr7,8e-05
3ao2,170.0
1a4k,0.01
1a4r,0.22
1mrw,0.0002
1mrx,0.055
1msm,3.2999999999999996e-05
1msn,0.0008100000000000001
2pym,0.15
2pyn,0.027
2q63,0.066
2q64,0.003
3bva,0.3
3bvb,3.2
3kdb,0.00014000000000000001
3kdc,0.0005200000000000001
3kdd,0.0034500000000000004
3pwm,0.0008
3ttp,0.00075
1a99,2.0
3tkw,5.4
5bs4,9.900000000000002e-06
1a9q,0.68
1lvu,4.8
3fuc,0.00018999999999999998
1u1b,0.016
4rsk,47.4
1amw,29.0
1bgq,0.0027
2cgf,0.39
2fxs,0.87
2iwx,0.21
2vw5,0.003
2vwc,0.24
2weq,1.27
2wer,0.09
2yge,8.62
2ygf,8.06
1ax0,746.0
3n35,431.0
1b05,0.075
1b0h,0.2
1b1h,0.093
1b2h,29.0
1b32,0.079
1b3f,0.13
1b3g,0.2
1b3h,0.62
1b3l,1.3
1b40,0.053
1b46,5.2
1b4h,3.44
1b4z,5.9
1b51,0.043000000000000003
1b52,0.076
1b58,0.26
1b5h,0.97
1b5i,0.09
1b5j,0.037
1b6h,0.015
1b7h,0.0095
1b9j,1.1
1qka,1.2
1qkb,0.045
1b38,0.254
5jq5,2.341
6guh,0.026000000000000002
6guk,0.715
6q4g,50.0
6q4e,350.0
1b55,0.04
6nfh,0.07
2fgu,0.00066
2fgv,0.76
3ekp,0.0013000000000000002
3ekt,2.6e-05
3ekv,0.00039000000000000005
3ekw,0.0109
3ekx,0.00039000000000000005
3el1,0.00023
3el4,0.0674
3el5,0.0189
3el9,0.004
1bhf,42.0
3da9,3.1
3po1,95.0
4hfp,0.042
1k1i,0.264
1k1j,0.028
1k1l,0.125
1k1m,0.04
1k1n,0.153
1ql7,10.0
1utn,321.0
1uto,5320.0
2zdk,0.428
2zdl,0.402
2zdm,0.386
2zdn,0.562
2zfs,0.28700000000000003
2zft,0.3
2zq2,0.276
3gy2,1.8
3gy3,2.36
3gy4,8.0
3gy7,30.0
3ljo,0.23900000000000002
3nkk,20.0
4ab9,466.0
4aba,153.0
4abb,31.0
4abd,40.0
4abe,400.0
4abf,24.0
4abg,271.0
4abh,71.0
5mn1,3300.0
5mnn,143.0
1bm7,0.03
1e4h,0.0039
2b9a,0.009000000000000001
2f7i,0.08
2g5u,0.0032
3cfn,10.0
3cft,64.0
3kgt,3.1
3kgu,1.2
3nee,4.6
3neo,1.2
3nes,2.4
3nex,1.0
3p3r,0.056049999999999996
3p3s,0.026000000000000002
3p3t,0.057909999999999996
4d7b,0.021
4der,0.49
4des,1.4
4det,2.1
4deu,2.29
4dew,0.1
5boj,0.1
5en3,0.62
5ihh,0.39
5l4i,0.26
5l4j,52.0
5l4m,4.6
5u49,0.73
5u4b,1.8
5u4d,0.47
1bn1,0.00046
1bn3,0.00013000000000000002
1bn4,0.00049
1bnn,0.0001
1bnq,0.00032
1bnt,0.00016
1bnu,0.0002
1bnv,0.0017
1bnw,0.00083
1g1d,0.00035999999999999997
1g45,0.0023
1g46,0.0016
1g48,0.0039
1g4o,0.0056
1g52,0.00029
1g53,0.00091
1g54,0.0015
1i9n,0.0022
1i9p,0.0039
1if7,2.9999999999999997e-05
1if8,0.00022999999999999998
1ttm,0.045
1xpz,0.084
1xq0,0.454
2ez7,43.5
2weg,0.314
2weh,1.125
2wej,0.839
2weo,0.11800000000000001
3m3x,0.15
3m40,0.17
3m5e,0.043
3m67,0.18
3m96,0.06
3mhi,0.2
3mhl,0.056
3mhm,0.1
3mho,0.32
3myq,0.03
3ryj,0.016
3ryv,0.08600000000000001
3ryx,0.0073
3ryy,0.038
3ryz,0.0024
3rz0,0.028
3rz1,0.0018000000000000002
3rz5,0.013000000000000001
3rz7,0.0011
3rz8,0.0067
3s71,0.0023
3s72,0.4
3s73,0.002
3s75,0.15
3s76,9.0
3s77,0.061
3s78,0.34
4ht0,0.01
4kni,0.0167
4knj,0.0111
4q08,0.5
4q09,0.0067
4q6d,0.043500000000000004
4q6e,0.667
4qtl,0.12
4yx4,1.0734000000000001
4yxi,0.31880000000000003
4yyt,0.4183
5eh5,1.35
5eh7,330.0
5eh8,791.0
5ehv,826.0
5ehw,1005.0
5ekm,0.48
5flo,709.0
5flq,1080.0
5fls,905.0
5flt,1280.0
5fng,1105.0
5gmn,18.8
5llc,0.0003
5lle,6e-05
5llg,7.4e-06
5llh,6.7e-05
5txy,3.5
5ty9,6.1
5tya,32.9
5u0d,28.6
5u0e,7.7
5u0f,3.4
5u0g,26.2
5vgy,65.5
6ql2,0.017
6ql1,0.33
6g6t,0.02
1bp0,4.0
1jmf,1.7
1jmg,0.85
1onz,8.0
5k9w,26.0
5ka1,33.0
5ka7,45.0
5ka9,39.0
5kab,21.0
5kad,37.0
1bzy,0.0046
1d2e,1.0
1d7i,250.0
1d7j,500.0
1df8,0.0002
1swg,0.0439
1swr,0.12
2izl,1.0
3rdo,0.00014000000000000001
3rdq,0.00049
3wzn,0.1
3x00,0.00083
4y59,5.8
4y5d,1.2
5b5f,5.6
5b5g,5.6
5n99,61.3
1duv,1.6e-06
1dzk,0.8
1e3g,0.00099
1xow,0.0005200000000000001
1e3v,45.74
1ogx,0.81
5g2g,0.9
5nap,0.01112
5nau,0.02986
6i8t,1.76
6i8m,0.016
4lbu,0.276
4leq,0.28800000000000003
4pum,0.1881
4q4o,0.0343
4q4p,0.4074
4q4q,1.6389
4q4r,0.3692
4q4s,0.11159999999999999
1ex8,0.47
4f7v,4.16
1ez9,8.0
2xbv,0.0037
1fao,0.043
1fch,0.07
1fcx,0.064
1fcy,0.003
1fcz,0.0006
1fd0,0.004
3bra,2000.0
3buf,800.0
3bug,660.0
3buh,220.0
3kmx,15.0
3kmy,32.0
3l59,200.0
3rsx,38.8
3ru1,14.2
3udh,1400.0
4fm7,0.057
4fm8,1.06
5i3v,0.016
5i3w,0.0006
5i3x,0.008
5i3y,0.0004
5ie1,0.14
6nv9,0.0064
6nv7,0.0121
6nw3,0.0221
1ftm,0.024800000000000003
1p1n,0.16
1p1o,1.74
1p1q,12.8
4g8m,0.0128
4igt,0.0128
4n07,0.35
5cbr,1.8
5cbs,3.9
1q7a,0.064
1sv3,45.0
2arm,0.021
3h1x,1.3
4qem,0.016
4qer,0.029
4qf7,0.0025
4qf8,0.031
4qgd,0.037
1fzq,0.024
1g74,0.3
2ans,1.2
2qm9,0.017
1g7v,0.4
1g85,3.3
2v00,220.0
4y3j,6800.0
4y3y,4500.0
4y4j,3400.0
1gwv,2680.0
1o7o,32.0
1gx8,0.43
2gj5,0.00474
3nq3,167.0
3nq9,92.6
3ueu,5.81
3uev,1.29
3uew,0.49
3uex,0.12
4gny,60.0
6ge7,0.867
6gf9,0.411
6gfs,0.291
6ghh,0.193
6qi7,0.35
1h0a,3.6
1h6h,5.0
1hk4,4.9
6ezq,22.0
1hn4,150.0
3qlm,0.431
4ej8,4.1
4ejl,7.2
1i1e,9.4
6mnc,1.6
1ie9,6.500000000000001e-05
1s19,0.00031
1ii5,0.24
1ikt,400.0
3e12,1.02
1jgl,0.002
1jlr,465.0
6s57,8.0
6s56,8.0
4qsu,10000.0
4qsv,10000.0
4tt2,22.0
4tte,202.0
4tu4,175.0
4tz2,350.0
5a5q,21.0
5a81,2.9
1pzi,60.0
1jyq,0.002
3ov1,6.25
3ove,0.27
3s8l,2.3
3s8n,0.62
3s8o,0.14
6dz3,0.0013000000000000002
6dz2,0.0014
6dz0,0.00094
6dyz,0.00063
1k6c,0.033
1k6p,0.044
1k6t,0.024
1k6v,0.12
1t7j,0.002
1kdk,0.0009000000000000001
1lhu,0.00148
1kjr,0.88
3t1m,910.0
5e89,0.014
5h9r,0.84
6eog,1.6
6eol,0.037
6qlu,23.0
6qlt,92.0
6qls,4.5
6qlr,15.0
6qlq,31.0
6qlp,5.2
6qlo,8.8
6qln,22.0
6qge,2.1
6qgf,1.0
3w07,420.0
1kmy,8.0
1lgt,0.8
1kv1,1.16
2baj,0.004
2bak,0.037
2bal,0.49
2yix,0.0033
2zb1,0.48
3gcp,0.015
3gcs,0.056
3gcu,0.165
3hub,0.008199999999999999
3huc,1.03
3iw5,0.839
3iw6,3.29
3o8p,0.35000000000000003
4f9y,0.184
5tbe,0.0010600000000000002
1kyv,1.2
1kzn,0.0012
4duh,6.6
4zvi,0.47
1lbf,0.014
1lgw,100.0
1li2,91.0
1li3,56.0
1li6,160.0
4i7j,480.0
4i7k,905.0
4i7l,103.0
4i7m,72.0
4i7p,317.0
4w52,175.0
1lke,0.0302
1lnm,0.002
1n0s,0.0352
1lrh,0.15
1zc9,600.0
1m48,8.2
1m5w,54.0
1m7y,1.1e-05
1m83,400.0
4unp,590.0
1n4k,8.999999999999999e-05
2ha2,22.0
2ha3,930.0
2ha6,48.0
2whp,100.0
4ara,0.9
4arb,1.3
1nf8,0.015
1os5,0.14
3cj2,14.0
3cj4,0.31
3cj5,0.46
3mf5,4.32
4b73,0.062
4b74,0.022
4b76,29.0
4eo6,0.002
4eo8,0.007
4ih5,78.0
4ih6,18.0
4ih7,5.8
1nki,0.2
1nli,260.0
3jvs,0.29
1nw4,0.00086
1q1g,0.0027
1nw5,6.1
1nw7,8.1
1oar,0.04
1oau,0.02
1oba,3600.0
1odi,62.0
1odj,80.0
1oe8,3.0
1ogd,930.0
1ogz,1.4
1oif,0.019
1w3j,0.484
2cbu,2.1
2cbv,3.3
2ces,0.056
2cet,0.0096
2j75,0.225
2j77,12.9
2j78,0.384
2j79,1.1
2j7b,0.24
2j7d,0.074
2j7e,0.048
2j7f,0.445
2j7g,0.1
2j7h,0.065
2vrj,0.5
2wc4,5.1
5oss,28.3
1ork,0.0015600000000000002
5js3,0.185
5jss,0.354
5jt9,0.233
5jvi,0.31
5jxn,0.388
5lif,1.34
5lvd,2400.0
5lwd,0.57
5m9w,5700.0
5ma7,336.0
5mnr,3.44
5n2t,8.4
5n2z,4.9
5n31,1.61
5n34,23.27
5n3v,45.24
5n3y,9.32
1oxr,6.4
1td7,43.0
1oz0,0.02
1p19,76.8
4kfq,0.005860000000000001
1pfu,1900.0
4qp2,940.0
6hk4,0.00281
6hk3,0.0314
1qaw,7.5
1qft,0.0017
1qk3,7.1
1qk4,61.0
1qkt,0.00092
1qy1,0.3
1qy2,1.8
1r0p,0.01
3q6w,0.027
3r7o,0.0044
5ya5,0.19
1r9l,4.0
1rd4,0.0183
3f78,800.0
1rmz,0.01
2hu6,154.0
3f15,0.00788
3f16,0.00591
3f17,0.00236
3f18,0.0395
3f19,0.06509999999999999
3f1a,0.0611
3lk8,0.0197
3lka,1500.0
3nx7,0.00788
3tsk,0.067
5cxa,0.009000000000000001
5czm,0.0048
5d3c,3.9999999999999996e-05
3o56,0.000794
2qta,1.75
1rpj,0.33
1rr6,5.6e-05
3k8o,8.599999999999999e-06
3k8q,5.2e-06
1s5z,620.0
4cp5,452.0
1sw2,0.06
3mam,76.0
5yjm,0.021
1t7d,0.94
1tq4,0.64
1u1w,1.4
1ucn,6.0
1uho,0.0006
1usi,0.18
1usk,0.4
1utj,144.0
1utl,3410.0
1utm,972.0
1uv6,7.575
1uw6,0.045200000000000004
3wtj,0.297
3wtl,0.092
3wtm,0.1
3wtn,0.091
3wto,0.119
4qac,0.0004
1uwf,0.15
4att,0.1046
4auj,0.0183
4av4,0.0943
