PDBCode,protID,lig_name
1a1e,P12931,4-mer
1sr7,P06401,MOF
3ao2,P04585,AVX
1a4k,P01834,FRA
1a4r,P60953,GNH
1mrw,P03367,K57
1mrx,P03367,K57
1msm,P03367,JE2
1msn,P03367,JE2
2pym,P03367,1UN
2pyn,P03367,1UN
2q63,P03367,1UN
2q64,P03367,1UN
3bva,P03367,2NC
3bvb,P03367,017
3kdb,P03367,006
3kdc,P03367,JZP
3kdd,P03367,JZQ
3pwm,P03367,017
3ttp,P03367,017
1a99,P31133,PUT
3tkw,P03366,017
5bs4,P03366,4UX
1a9q,P55859,HPA
1lvu,P55859,9PP
3fuc,P55859,9D9&9DG
1u1b,P61823,PAX
4rsk,P61823,U3P
1amw,P02829,ADP
1bgq,P02829,RDC
2cgf,P02829,P2N
2fxs,P02829,RDA
2iwx,P02829,M1S
2vw5,P02829,BC6
2vwc,P02829,BC2
2weq,P02829,GDM
2wer,P02829,RDC
2yge,P02829,GDM
2ygf,P02829,GDM
1ax0,P16404,A2G
3n35,P16404,A2G
1b05,P06202,3-mer
1b0h,P06202,3-mer
1b1h,P06202,3-mer
1b2h,P06202,3-mer
1b32,P06202,3-mer
1b3f,P06202,3-mer
1b3g,P06202,3-mer
1b3h,P06202,3-mer
1b3l,P06202,3-mer
1b40,P06202,3-mer
1b46,P06202,3-mer
1b4h,P06202,3-mer
1b4z,P06202,3-mer
1b51,P06202,3-mer
1b52,P06202,3-mer
1b58,P06202,3-mer
1b5h,P06202,3-mer
1b5i,P06202,3-mer
1b5j,P06202,3-mer
1b6h,P06202,3-mer
1b7h,P06202,3-mer
1b9j,P06202,3-mer
1qka,P06202,3-mer
1qkb,P06202,3-mer
1b38,P24941,ATP
5jq5,P24941,I74
6guh,P24941,FB8
6guk,P24941,FC8
6q4g,P24941,HJK
6q4e,P24941,HH5
1b55,Q06187,4IP
6nfh,Q06187,KLM
2fgu,P03369,5-mer
2fgv,P03369,5-mer
3ekp,P03369,478
3ekt,P03369,017
3ekv,P03369,478
3ekw,P03369,DR7
3ekx,P03369,1UN
3el1,P03369,DR7
3el4,P03369,ROC
3el5,P03369,1UN
3el9,P03369,DR7
1bhf,P06239,5-mer
3da9,P00734,44U
3po1,P00734,MKY
4hfp,P00734,15U
1k1i,P00760,FD1
1k1j,P00760,FD2
1k1l,P00760,FD3
1k1m,P00760,FD4
1k1n,P00760,CCR
1ql7,P00760,ZEN
1utn,P00760,ABN
1uto,P00760,PEA
2zdk,P00760,50U
2zdl,P00760,45U
2zdm,P00760,46U
2zdn,P00760,49U
2zfs,P00760,12U
2zft,P00760,10U
2zq2,P00760,13U
3gy2,P00760,BRN
3gy3,P00760,PNT
3gy4,P00760,PBZ
3gy7,P00760,BEN
3ljo,P00760,11U
3nkk,P00760,JLZ
4ab9,P00760,VXQ
4aba,P00760,SW1
4abb,P00760,K9S
4abd,P00760,SW2
4abe,P00760,913
4abf,P00760,513
4abg,P00760,91B
4abh,P00760,7Z3
5mn1,P00760,2AP
5mnn,P00760,MRZ
1bm7,P02766,FLF
1e4h,P02766,PBR
2b9a,P02766,FBC
2f7i,P02766,26C
2g5u,P02766,PCQ
3cfn,P02766,2AN
3cft,P02766,5NS
3kgt,P02766,GEN
3kgu,P02766,GEN
3nee,P02766,B72
3neo,P02766,G24
3nes,P02766,B72
3nex,P02766,G24
3p3r,P02766,3M1
3p3s,P02766,3M2
3p3t,P02766,3M3
4d7b,P02766,TCW
4der,P02766,AGI
4des,P02766,57D
4det,P02766,KMP
4deu,P02766,NAR
4dew,P02766,LU2
5boj,P02766,4TX
5en3,P02766,7LU
5ihh,P02766,6B5
5l4i,P02766,6J3
5l4j,P02766,6JD
5l4m,P02766,SBK
5u49,P02766,S2L
5u4b,P02766,XOS
5u4d,P02766,XLO
1bn1,P00918,AL5
1bn3,P00918,AL6
