lig_name,SMILE
4-mer,CCCC[C@@H]1CCCN(C1)C(=O)[C@@H](NC(=O)[C@H](Cc1ccc(cc1)OP(O)(O)O)NC(=O)C)CCC(=O)O
MOF,ClCC(=O)[C@@]1(OC(=O)c2ccco2)[C@H](C)C[C@@H]2[C@]1(C)C[C@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)Cl
AVX,Brc1cc(cc2c1OCO2)c1cc(n(n1)C)N
FRA,OC(=O)COC(=O)N[C@]12CC[C@H](CC1)[C@@H]1[C@H]2C(=O)N(C1=O)c1ccc(cc1)NC(=O)C
GNH,O[C@@H]1[C@@H](COP(OP(O)(O)N)(O)O)O[C@H]([C@@H]1O)n1cnc2c1nc(N)[nH]c2=O
K57,O=C([C@H]1N(CSC1(C)C)C(=O)[C@H]([C@@H](NC(=O)c1cccc(c1C)O)Cc1ccccc1)O)NC(C)(C)C
JE2,O[C@H](C(=O)N1CSC([C@H]1C(=O)NCc1ccccc1C)(C)C)[C@@H](NC(=O)c1cccc(c1C)O)Cc1ccccc1
1UN,O[C@@H]([C@@H](NC(=O)c1cccc(c1C)O)CSc1ccccc1)C[N@@H+]1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
2NC,CCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N)CCC[NH+]=C(N)N)CCC(=O)N)[NH2+]C[C@@H](NC(=O)[C@H]([C@H](CC)C)NC(=O)[C@H]([C@H](O)C)NC(=O)C)CCCC
017,CC(CN(S(=O)(=O)c1ccc(cc1)N)C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@@H]2[C@H]1CCO2)O)C
006,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(C)cccc1C
JZP,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(Cl)cccc1Cl
JZQ,O=C(N[C@H]([C@@H](C(=O)N1CSC([C@H]1C(=O)N[C@@H]1[C@H](O)Cc2c1cccc2)(C)C)O)Cc1ccccc1)COc1c(F)cccc1F
