PDBCode,uniprot
6mu1,P29994
3t8s,P29994
1n4k,P11881
5urm,O75643
5urj,O75643
5urk,O75643
3eql,Q9Z9H6
1zyr,Q5SHR6
3dxj,Q5SHR6
4wz6,P13569
6o2p,P13569
5uah,P0A7Z4
5ual,P0A7Z4
4zh4,P0A7Z4
4zh3,P0A7Z4
4zh2,P0A7Z4
4xsx,A7ZSI4
4xsy,A7ZSI4
4xsz,A7ZSI4
4mex,P0A7Z4
4kn4,P0A7Z4
4kn7,P0A7Z4
4kmu,P0A7Z4
5uac,P0A7Z4
5swg,P42336
5sxk,P42336
4waf,P42336
5xgh,P42336
6gvg,P42336
6gvh,P42336
6oco,O00329
5uk8,P42336
5itd,P42336
5ul1,P42336
6gvi,P42336
6pys,P42336
5ukj,P42336
6gvf,P42336
4l23,P42336
3hhm,P42336
6oac,P42336
6pyu,O00329
4ykn,P27986
3zim,P42336
4jps,P42336
5dxu,O00329
5vlr,O00329
5ubt,O00329
4tv3,P42336
6pyr,O00329
5dxh,P42336
6g6w,O00329
5dxt,P42336
6nzk,Q696P8
6fbv,P9WGZ1
1t3t,P74881
1i1e,P10844
1g9d,P10844
1g9a,P10844
1g9b,P10844
1g9c,P10844
2nm1,P10844
5wbk,Q93YQ1
5wbl,Q93YQ1
4xwk,P21447
2j9n,P00760
1i6v,Q9KWU8
1y4z,P09152
6en4,Q15393
4ci1,Q16531
4ci2,Q16531
4ci3,Q16531
5v3o,Q16531
4qsh,W6G6F5
4qsk,W6G6F5
3mwe,P53396
6o0h,P53396
4ajw,O35904
6q6y,O35904
4v0i,O35904
6ftn,O35904
2wxf,Q3UDT3
5l72,Q3UDT3
2x38,Q3UDT3
6q73,O35904
2wxo,Q3UDT3
5t27,O35904
6gy0,O35904
6dgt,O35904
2wxm,Q3UDT3
6ez6,O35904
2wxq,Q3UDT3
2wxn,Q3UDT3
5ngb,Q3UDT3
4xe0,O35904
5o83,O35904
2wxh,Q3UDT3
6eyz,Q3UDT3
5t2g,O35904
2wxi,Q3UDT3
6mul,Q3UDT3
6q74,O35904
5t2l,O35904
5t2b,O35904
2wxl,Q3UDT3
6mum,Q3UDT3
5t28,O35904
2wxp,Q3UDT3
5t2i,O35904
2wxj,Q3UDT3
5t2d,O35904
5ncz,O35904
2wxg,Q3UDT3
5t2m,O35904
2wxk,Q3UDT3
5ncy,O35904
1bxr,P00968
6ocu,O00329
5m6u,O00329
3i3d,B8LFD6
3i3b,B8LFD6
3dyo,P00722
3t0d,P00722
3vdb,P00722
3t08,P00722
1px4,P00722
3muz,B8LFD6
3t2p,P00722
3t2q,P00722
3t09,P00722
3mv0,B8LFD6
3vd9,P00722
3t0b,P00722
3vd7,P00722
3vd4,P00722
3vdc,P00722
1hty,Q24451
1qx1,Q24451
1ps3,Q24451
2ow6,Q24451
2f1b,Q24451
2f1a,Q24451
1qwu,Q24451
3d52,Q24451
1hxk,Q24451
2fyv,Q24451
3dx1,Q24451
2f18,Q24451
3d51,Q24451
3ddf,Q24451
3d50,Q24451
2ow7,Q24451
3d4z,Q24451
3d4y,Q24451
3ddg,Q24451
3dx3,Q24451
2f7p,Q24451
3ejs,Q24451
3eju,Q24451
3dx2,Q24451
3dx4,Q24451
3ejt,Q24451
3dx0,Q24451
2f7o,Q24451
1hww,Q24451
3ejp,Q24451
3ejr,Q24451
3ejq,Q24451
3w5n,Q82PP4
5ylv,P19156
5ylu,P19156
2x09,Q56F26
2vzr,Q56F26
3a3y,Q4H132
4amw,Q9STC1
4amx,Q9STC1
2x2i,Q9STC1
5dhf,P62826
5uwj,P62826
5uwp,P62826
5uwi,P62826
5dif,P62826
5l6i,P22515
5l6h,P22515
5l6j,P22515
4ret,P05024
4res,P05024
3n23,P05024
2jbu,Q5T5N2
4re9,P14735
4ifh,P14735
4dtt,P14735
4gsc,P14735
4dwk,P14735
4gs8,P14735
4nxo,P14735
4lte,P14735
6byz,P14735
6eds,P14735
6mq3,P14735
3e4a,P14735
2oa0,P04191
2o9j,P04191
5ncq,P04191
2agv,P04191
4ycm,P04191
4ycn,P04191
5a3r,P04191
4j2t,B6CAM1
3nal,B6CAM1
4ycl,P04191
3nan,B6CAM1
3nam,B6CAM1
5a3q,P04191
5a3s,P04191
3n5k,P04191
3zvv,P48736
2chw,P48736
4g11,P48736
4kz0,P48736
5eds,P48736
3dpd,P48736
5t23,P48736
5jha,P48736
4urk,P48736
5jhb,P48736
4wwn,P48736
6aud,P48736
4gb9,P48736
4fjz,P48736
4anv,P48736
3qar,P48736
3sd5,P48736
2a4z,P48736
4wwp,P48736
3r7q,P48736
3qaq,P48736
5g2n,P48736
4aof,P48736
3nzs,P48736
3dbs,P48736
