PDBCode,vina_deltaG(kcal/mol),vina_kd(uM)
5j41,-7.2,1.73383676761635
1a1e,-7.1,2.0845963989904144
1a28,-11.5,0.0006286600870029457
1sr7,-12.9,4.766757295488581e-05
2w8y,-12.4,0.00011975451999797436
1a30,-7.2,1.73383676761635
1bv7,-15.2,6.885036034533444e-07
1bv9,-14.5,2.5003605711299675e-06
1bwa,-14.6,2.0796433749108175e-06
1hvh,-10.0,0.00996833240468876
1hwr,-9.5,0.025043290192969626
3t1a,-12.6,8.284463036943888e-05
4q1w,-9.8,0.014409538155705594
4q1x,-9.7,0.017324624734884792
4q1y,-9.7,0.017324624734884792
1a4r,-8.9,0.07564392150535396
1a69,-8.3,0.22848446895825622
1k9s,-9.2,0.04352439175442664
1d4y,-11.4,0.0007558396372900754
1iiq,-9.7,0.017324624734884792
1izi,-9.8,0.014409538155705594
1lzq,-9.4,0.030109612121622685
1m0b,-8.6,0.13146657839569292
1mrw,-11.0,0.0015793731942713909
1mrx,-11.3,0.0009087479372555044
1msm,-12.6,8.284463036943888e-05
1msn,-12.1,0.00020812930739501562
1sdt,-12.2,0.0001731089268669813
1sdu,-11.7,0.00043489892938203305
1sdv,-11.8,0.00036172170033716864
1sgu,-10.9,0.001898884448024712
1sh9,-8.4,0.19003907581389948
2pqz,-11.3,0.0009087479372555044
2pwc,-10.8,0.002283033649063271
2pwr,-12.2,0.0001731089268669813
2pym,-10.8,0.002283033649063271
2q63,-10.8,0.002283033649063271
2q64,-10.8,0.002283033649063271
2qci,-10.2,0.006895963621916808
2qd6,-9.7,0.017324624734884792
2qd7,-10.1,0.008291034774616974
2qd8,-10.5,0.0039678353029772165
2qnn,-12.8,5.7310845395773126e-05
2qnp,-10.1,0.008291034774616974
2qnq,-10.3,0.00573563078282912
